lane_text,product,destination,tonnage,rate
NBO F24 - KERICHO 7.5T SPIRIT SPIRITS,SPIRITS,NAO,7.5T,44244.63
NBO F24 - KIBERA 7.57 SPIRIT SPIRITS,SPIRITS,NBO,24T,10411.62
NBO F24- KiSUMU AYOTI7.ST SPIRIT SPIRITS,SPIRITS,NBO,24T,75.39
NBO F24- KITALE 7.57 SPIRIT SPIRITS,SPIRITS,NEO,24T,74502.01
NBO F24 - MAB 7.ST SPIRIT SPIRITS,SPIRITS,NAIKOM,24T,983.28
NBG F24- MUTOMO 7.57 SPIRIT SPIRITS,SPIRITS,,24T,39877.48
NBO F24 - NAKURU 7.57 SPIRIT SPIRITS,SPIRITS,NBO,24T,52704.42
NBO F24 - THIKA 7.57 SPIRIT SPIRITS,SPIRITS,NBO MOUNTAIN,24T,912.91
F24-KSM-ATHIA-I BVEEERR - 147 BEER,BEER,TATHIRIVER,24T,80255.53
F24-KSM-BOMET- BEER,BEER,RIFT SOMET,24T,31473.83
KOUKSM F24- BURUGURU 147 BEER,BEER,URUBURU,24T,77224.3
KNLKSM F20- DUSIA 147 BEER,BEER,HUSIA,20T,33690.95
KSM F24. ELOORET 147 BEER,BEER,ELDORET,24T,30603.94
F24-KSM -EMALI- BEER,BEER,MAL,24T,99157.61
F24-KSM-GAT-U NBEDEUR 147 BEER,BEER,MOUNTAIN,24T,74316.53
KSM F24- KISII 147 BEER,BEER,RIFT,24T,33031.4
KOLKSM F24- KISUMU 347 BEER,BEER,BEER KSM,24T,10764.17
KSM F24- KISUMU AYOTI 147 BEER,BEER,BEER KS,24T,11744.17
F24-KSM-LIMURU-BEER,BEER,BEER KSM,24T,64192.45
F24 -KSM -LOKICHOGIO - BEER,BEER,BEER KSM,24T,141386.2
F24 -KSM -MACHAKOS - GEER- 141 BEER,BEER,KSM MACHAKOS,24T,78835.62
F24-KSM -NAIROGITHT - OEEN- 141 BEER,BEER,NAIROBI,24T,74192.82
F24 0KSM-NANYUKI. BEER,BEER,MOUNTAIN,24T,81908.93
F24 -KSM-NAROK - BEER,BEER,LAT NAROK,24T,47107.36
F24 .KSM-NGONG. BEER,BEER,NGONG,24T,74316.53
F24 -KSM -RUIRU - BEER,BEER,RUG,24T,81541.51
F24 -KSM -BURUBUAU - DELN-30T BEER,BEER,KSM NAMOB,30T,121213.76
KBLKSM F24-DAGORETTICOANER JOT BEER,BEER,GEER KSM,24T,115487.27
F24-KSM-DIANI. BEER,BEER,HER KM,24T,200582.77
LKSM F24. ELOORET JOT BEER,BEER,BEER KSM,24T,55014.56
LKSM F24- ELOORET THT 307 BEER,BEER,BEE,24T,924.14
F24.KSM-EMALI- BEER,BEER,DEER KSM,24T,186209.31
F24 -KSM-EMBU - BEER,BEER,EER KM,24T,146244.45
F24-KSM-GATUNOU - MEER. 30T BEER,BEER,KSM MOUNTAIN,30T,116672.25
F24KSM -GIKOMBA . BEER,BEER,AER,24T,137254.74
F24-KSM-HURUMA. BEER,BEER,NAIROBI,24T,106557.69
F24 .KSM-ISIOLO - BEER,BEER,BEER KSM,24T,152169.34
KSM F24-ITEN 301 NEER BEER,BEER,KSM,24T,65903.37
F24-KSM JUJA. BEER,BEER,KSM MOUNTAIN,24T,170593.47
KBLKSM F24. KAKAMEGA 307 BEER,BEER,BEER,24T,25625.2
F24 -KSI-KAVOLE. BEER,BEER,OER KSM,24T,123197.35
KBLKSM F24. KISUMU SOT BEER,BEER,BEER KSM,24T,15255.65
KALKSM F24-- KITALE 30T BEER,BEER,HEE KSA,30T,67930.63
F24 -KSM-LIMURU . BEER,BEER,NAIROG,24T,103238.4
F24 -KSM -MAKUTANO - BEER,BEER,BEER KS,24T,148803.15
KBLKSM F24. MERU 307 BEER,BEER,MOUNTAIN,24T,181132.49
F24 -KSM -NAIROBI- BEER,BEER,SOT BEER,24T,116376.0
F324 -K5M -NAIRODI THT - OCER- 307 BEER,BEER,WAM,30T,116376.0
KSM F24- NAROK 30T BEER,BEER,BEER,30T,73687.7
XSM F24 - NKUBU 30T BEER,BEER,BEER,30T,158283.03
F24 -KSM NAS INDUST AREA. BEER,BEER,KSM NAIROBI,24T,421.35
KOLKStA F24- AUIAU 307 ALER BEER,BEER,MOUNTAIN,24T,128173.51
KOLKSM F24- THIKA 30T BEER,BEER,BEEN KM,30T,138245.84
F24 -KSM-VOl- BEER,BEER,,24T,219264.65
F24 -KSM-ATHIRIVEN - BEER,BEER,,24T,62392.76
NSM F24- ELDORET 7.51 BEER,BEER,,24T,23671.32
F24_KSM-GATUNDU- BEER,BEER,,24T,57843.72
F24 -K5M-ISIOLO - BEER,BEER,TST,24T,29.25
F24 -KSM-JUIA- BEER,BEER,UIA,24T,264.29
KSM F24- KAGIO 7.57 BEER,BEER,,24T,717.76
KSM F20- KAKAMIGA 7.57 BEER,BEER,,20T,34679.69
F24 -KSM -KAVOLE - BEER,BEER,,24T,421.35
KBLKSM F24- KERICHO 7.57 BEER,BEER,,24T,265.22
KBLKSM F24 - KISH 7.57 BEER,BEER,,24T,879.02
KBLKSM F24 - KISUMU AYOTI 7.51 BEER,BEER,,24T,817.44
KSM F24 - LIMURU 7.5T BEER,BEER,,7.5T,354.45
F24-KSM-NAIROBI THT - BEER,BEER,BEER KM,24T,421.35
F24 -KSM-NANYUKI- BEER,BEER,MOUNTAIN,24T,553.32
f24-NAROK 7.57 BEER,BEER,BEER KSM,24T,39805.25
F24 -KSM-NAROK - BEER,BEER,BEER KM,24T,36805.79
F24.KSM-NGONG- BEER,BEER,BEER KSM,24T,608.18
F24-KSM-RUINU - BEER,BEER,MOUNTAIN,24T,795.64
F24 -KSM-UKUNDA- BEER,BEER,,24T,120.88
F24 .KSM-BOMET- BEER,BEER,BOMET,24T,23112.52
F24-KSM-EMALI- BEER,BEER,EMAL,24T,74830.15
F24 -KSM-EMBU - BEER,BEER,,24T,67170.49
F24 -KSM-GATUNDU - BEER,BEER,MOUNTAIN,24T,54002.16
F24 -KSM-GIKOMBA - BEER,BEER,BEER KIM,24T,54263.25
F24 -K5M -HURUMA- BEER,BEER,BEER KSM,24T,54696.86
F24 -KSM -JUJA - BEER,BEER,BEE KS,24T,60251.38
KSM F24 - KiStl PAUP BEER,BEER,,24T,21232.55
F24 -KSM-MAKUTANO - BEER,BEER,,24T,68566.42
F24 -KSM -NAIRODI- BEER,BEER,BEER NAIROBI,24T,53671.63
F24 -KSM-NAIRODI THT - BEER,BEER,GEER NAUKOML,24T,55159.96
F24 -KSM -NGONG - BEER,BEER,BEER NGONG,24T,48601.94
F24--SM -NYALI- BEER,BEER,EER NYAU,24T,124237.64
F24-KSM -RONGAI- BEER,BEER,RONGAI,24T,55159.96
F24-KSM -RUIRU - BEER,BEER,BEER IKSM,24T,59206.99
F24-KSM -TALA - BEER,BEER,BEER TALA,24T,68044.22
F24 -KSM-URUNDA- BEER,BEER,BEER UKUNDA,24T,127370.83
F24 -KSM -VOl- BEER,BEER,,24T,100020.76
F24- DOMET 147 KEG,KEG,KEG BOMET,24T,40574.62
KSM F24- CHUKA 2AT KEG,KEG,KEG,24T,125700.16
KSM F24 - IKUTHA 147 KEG,KEG,KEG IKUTHA,24T,135229.32
bLKSM F24- KAKAMIGA 147 KEG,KEG,KEG KAKAMEGA,24T,47793.24
KBLKSM F24 - KERICHO 24T KEG,KEG,KEG,24T,25301.37
KOLKSM F24- KIAMAU 14T KEG,KEG,KEG,14T,87626.95
KSM F24 - KIKUYU 147 KEG,KEG,KEG,24T,67635.33
F24 - KISUMU 147 KEG,KEG,KEG KISUMU,24T,12558.63
KBLKSM F24 - KITUI14T KEG,KEG,KEG,14T,131756.33
KSM F24. IMURU 447 KEG,KEG,KEG LIMUAU,24T,74599.81
KSM F24- MAUA 141 KEG,KEG,KEG MAUA,24T,136215.63
KSM F24 - MIGORI 147 KEG,KEG,KEG IMIGOR,24T,45002.41
KBLKSM F24 - MWIKI LAT KEG,KEG,KEG,14T,91093.76
KSM F20- NAIVASHA 14T KEG,KEG,NAIVASHA,14T,74718.07
KSM F24 - NAKURU LAT KEG,KEG,KEG NAKUNU,14T,61194.77
KBLKSM F24 . NAROK 14T KEG,KEG,KEG NAROK,14T,56809.55
KSM F24-NGONG 147 KEG,KEG,KEG NGONG,24T,76933.78
KSM F24- NKUGU 147 KEG,KEG,KEG NKUBU,24T,117361.94
KSM F24 - RONGAI 1aT KEG,KEG,,24T,76128.8
KSM F24 - BUNGOMA 30T KEG,KEG,KUG BUNGOMA,30T,44466.13
KBLKSM F24 - CHUKA 30T KEG,KEG,KEG,30T,163299.83
KBLKSM F24 - GILGIL 30T KEG,KEG,KEG,30T,89006.35
RSM F24- KADSADET JOT KEG,KEG,KAPSABET,24T,38187.21
KSM F24 - KERICHO 30T KEG,KEG,,30T,39404.56
KSM F24 - KIAMBU 307 KEG,KEG,,24T,132675.14
KSM F24 - KIS 30T KEG,KEG,,30T,40329.76
KSM F24 - KITALE 30T KEG,KEG,KITALE,30T,67082.5
KSM F24 . KITENGELA 30T KEG,KEG,,30T,98824.36
KSM F24 - LIMURU 30T KEG,KEG,LAIMA,30T,120342.7
KOLKSM F24 - NAKUAU 30T KEG,KEG,KSM RIFT,30T,65079.31
KSM F24 - NAADK 307 KEG,KEG,KEG KSM,24T,66141.43
KSM F24 - NGONG 307 KEG,KEG,KEG KEM,24T,134341.01
KSM F24 - NIORO 20T KEG,KEG,KEG KSM,20T,60800.92
F24 - NYAHURURU 30T KEG,KEG,KEG KSM,30T,71994.72
KSM F24 - HUNGOMA 7 STRIG KEG,KEG,KSM LAKE,24T,442.63
KSM F264 - CHUKA 7.5T KEG,KEG,KSM MOUNTAIN,7.5T,83811.39
KSM F24 - DANDORA 7.51 KEG,KEG,KEG KSM,24T,606.52
KSM F24 - GILGIL 7.51 KEG,KEG,KEG KSM,24T,16.29
KSM F24 - IKUTHA 7.51 KEG,KEG,KEG KSM,24T,379.96
KEM F24 - JUJA 7.57 KEG,KEG,KEG KSM,24T,68132.61
KSM F24- FAPSADET 7ST KEG,KEG,KEG KSM,24T,16286.5
KBLKSM F24- KISI7.5T KEG,KEG,KEG KSM,7.5T,23658.89
RGM F24 - KITALE 7.5T KEG,KEG,KSM RIFT,7.5T,213.01
KBLKSM F24 - LIMURU 7.5T KEG,KEG,KSM NAIROB,7.5T,56630.51
KSM F24 - MAUA 7.51 KEG,KEG,KEG KSM,24T,86116.5
KBLKSM F24- MWEA 7.57 KEG,KEG,KSM MOUNTAIN,24T,75641.74
KSM F24- MWIKi 7.51 KEG,KEG,KEG KS,24T,994.72
KBLKSM F24- NAKUAU 7.51 KEG,KEG,NAKURU,24T,501.12
KSM F24 - NAROK 7.57 KEG,KEG,RIFT NAROK,24T,491235.19
KBLKSM F24- NGONG 7.51 KEG,KEG,NAIROBI,24T,63708.93
KBLKSM F24 - NKUBU 7.57 KEG,KEG,MOUNTAIN,24T,82475.32
KSM F24. NYAHUAURU 2.51 KEG,KEG,KEG KEM,24T,357.48
KBLKSM F24- THIKA 7.5T KEG,KEG,KES KSM,7.5T,71992.36
F24-kSM-BOMEY - SPINITS - 147 SPIRITS,SPIRITS,DOMET,24T,31400.43
F24 - KSM- ELDORET- SPIRITS,SPIRITS,SPIAIT,24T,29563.32
F24-KSM-KITHYUKO EG-SPIRITS,SPIRITS,SPIRITS,24T,103472.46
F24 - KSM- LOKICHOGIO - SPIRITS,SPIRITS,MOUNTAIN,24T,141137.53
F24 - KSM- MAKONG- ESPiNnIITS - 147 SPIRITS,SPIRITS,KSM MOUNTAIN,24T,85877.17
F24 - KSM- MAUA EB- SPIRITS,SPIRITS,SPITS KSM,24T,107513.85
KSM F24 - NAIROMI 147 SPIRIT SPIRITS,SPIRITS,NAIROBI,24T,74059.42
KSM F24 - NAIVASHA 147 SPINIT SPIRITS,SPIRITS,KSM RIFT,24T,63409.98
KSM F24- NAKUAU LAT SPIRIT SPIRITS,SPIRITS,KSM RIFT,14T,43504.54
F24 - KSM - NAKURU EB - SPIRITS,SPIRITS,LAT,24T,41804.54
F24- KSM. NAKURU . SPIRITS,SPIRITS,NAXUAU,24T,41504.54
F24.KSM- NAROKEB- SPIAITS - 147 SPIRITS,SPIRITS,KSM RIFT,24T,47033.97
KSM F24- NYAHURUAY 147 SPIRIT SPIRITS,SPIRITS,KSM RIFT,24T,568.71
F24- KS - NYALI- SPIRITS,SPIRITS,SPIRITS KSM,24T,172158.85
F24- KSM- RUIRU EG- SPIRITS,SPIRITS,SPIRITS KSM,24T,81468.11
KBLKSM F24- BOMET 307 SPIRIT SPIRITS,SPIRITS,KSM,24T,48696.27
F24 - KSM - BOMET- SPIRITS,SPIRITS,SPIRITS KSM,24T,48686.27
KBLKSM F24 - 307 SPIRIT SPIRITS,SPIRITS,,24T,42052.19
F24- KSM - BURUBURU - SPIRITS,SPIRITS,SPIRITS KSM,24T,121071.63
F24 - KSM - ELDORET - SPIRITS,SPIRITS,SPIRITS KSM,24T,45723.02
F24- KSM- GATUNOU- SPIRITS,SPIRITS,SPIRITS KS,24T,136532.13
F24 - KSM - JUJAEQ- SPIRIT- 3S07 SPIRITS,SPIRITS,MOUNTAIN,24T,130403.15
KSM F24 . KAPSAQET 30T SPIRIT SPIRITS,SPIRITS,KAPSABET,30T,32339.7
KSM F24 - KERICHO 30T SPIRIT SPIRITS,SPIRITS,KERICHO,30T,30486.65
KBLKSM F24 - KISH 307 SPIRIT SPIRITS,SPIRITS,,24T,40596.9
KSM F24 - KISUMU JOT SPIRIT SPIRITS,SPIRITS,KSM LAKE,24T,267.9
KOLKSM f24- KITALE 207 SPIRIT SPIRITS,SPIRITS,KSM,24T,46684.68
F24 - KSM- MAKUTANO- SPIRITS,SPIRITS,SPIRITS KSM,24T,148663.07
F24- KSM - MATHAME EO - SPIRITS,SPIRITS,SPIRITS KM,24T,119146.04
F24 - KSM- MAUA EB - SPIRITS,SPIRITS,PIRITS,24T,169562.85
F24 - KSM- MERU - SPIRITS,SPIRITS,SPIRITS,24T,180992.97
KBLKSM F24 . MIGORI 30T SPIRIT SPIRITS,SPIRITS,LAKE MIGORI,30T,71452.8
F24- KiM- MOMBAS-A SPIA- I3T0ST SPIRITS,SPIRITS,KSM,5T,256559.05
KBLKSM F24- NAIROBI 307 SPIRIT SPIRITS,SPIRITS,WAIRODL,24T,116235.88
F24 - KSM- NAIROBI THT. SPIRITS,SPIRITS,,24T,116235.88
F24- KSM- NAROK Eft- SPIRITS,SPIRITS,SPIRITS KM,24T,73547.58
F24- KSM. NGONG . SPIRITS,SPIRITS,NGONG,24T,116592.13
F24- KSM- NYERI - SPIRITS,SPIRITS,SPIRITS KSM,24T,124182.21
F24- KSM-TALA- SPIRITS,SPIRITS,SPIRITS KSM,24T,147478.0
F24. KSM.- THIKA . SPIRITS,SPIRITS,MOUNTAIN,24T,138105.71
F24- KSM- VOL. SPIRITS,SPIRITS,SPIRITS,24T,197302.08
F24 - KSM - ATHI RIVER - SPIRITS,SPIRITS,SPIRITS WAIROG,24T,696.17
KSM F24 - BUNGOMA 7.57 SPIRIT SPIRITS,SPIRITS,KEM LAKE,24T,331.67
KBLKSM F24- BUSIA 7.57 SPIRIT SPIRITS,SPIRITS,KSM LAKE,24T,24849.23
F24 KS. DANDORA EB. SPIRITS,SPIRITS,SPIRITS KSI,24T,39495.19
F24- KM - KIBERA UD - SPIRITS,SPIRITS,SPIRITS NAIROBI,24T,346.46
MSM F24 . KISH 7.57 SPIRIT SPIRITS,SPIRITS,KSM,24T,20905.84
F24- RSM - MAUA EB. SPIRITS,SPIRITS,SPIRITS KM,24T,225.09
KBLKSM F24. NAKURU 7.ST SPIRIT SPIRITS,SPIRITS,RIFT NAKURU,24T,92366.86
KBLKSM F24. NIORO 7.51 SPIRIT SPIRITS,SPIRITS,KSM NIORO,24T,93394.75
F24 - KSM- NIORG EB - SPIRITS,SPIRITS,SPIRITS,24T,898.22
F24.KSM-NABCITYCENTEB-SPIRITS,SPIRITS,SPIRITS KSM,24T,346.46
F24- KSM-NAUINDUST AREA -SPIRITS,SPIRITS,SPIRITS KSM,24T,59356.31
F24- KSM- NYAHURUAU - SPIRITS,SPIRITS,SPIRITS KSM,24T,835.51
F24- RSM. NYERI- SPIRITS,SPIRITS,SPIRITS SM,24T,211.71
F24-KSM.BURUBURU SPIRITS,SPIRITS,NANNY,24T,36139.08
F24 - KS. MERU - SPIRITS,SPIRITS,MOUNTAIN,24T,69324.56
F24 - KSM- MWIKI EB - SPIRITS,SPIRITS,SPIRITS KSM,24T,55943.25
F24 . KSM- NAIVASHA EB - SPIRITS,SPIRITS,SPIRITS KSM,24T,39478.01
F24 - KSI NAKURU - SPIRITS,SPIRITS,SPIRITS KSM,24T,50292.53
F24- KSM. NJORO EB- SPIRITS,SPIRITS,HUET NJORO,24T,29378.68
F24 - KSM- NYAHURURU - SPIRITS,SPIRITS,SPIRITS KSM,24T,38694.72
F24 - KSM- RUIRU EB - SPIRITS,SPIRITS,SPIRITS,24T,59206.99
F24 . KSM.. TALA- SPIRITS,SPIRITS,COAST TAU,24T,68044.22
F24-BOC -ATHIRIVER - BEER,BEER,BEER BDC,24T,12163.64
F24 -BOC -DAGORETTI CORNER - BEER,BEER,LAT BEER,24T,421.35
F24-BOC -EMBU - BEER,BEER,MOUNTAIN,24T,32943.52
F24 BDC -GATUNDU . BEER,BEER,MOUNTAIN,24T,17159.99
F24 -AOC -JUJA- BEER,BEER,MOUNTAIN,24T,14607.0
F24 BOC -KAGIO- BEER,BEER,MOUNTAIN,24T,28901.88
F24 -BDC -KAYOLE - BEER,BEER,BEER BOC,24T,10840.93
F24 -BOC -MAKUTANO - BEER,BEER,MOUNTAIN,24T,24030.78
F24 -BDC -MOMBASA - BEER,BEER,COAST MOMBASA,24T,93706.03
F24 -BOC -NAIRODI- BEER,BEER,NAIROBI,24T,20840.93
F24 -BOC -NANYUKI - BEER,BEER,MOUNTAIN,24T,45210.25
F24 -BDC -NKUBU - BEER,BEER,MOUNTAIN,24T,48209.63
F24 -BDC -NYAHURURU- BEER,BEER,MOUNTAIN,24T,43900.61
F24 BOC -NYAU- BEER,BEER,COAST NYALI,24T,104301.52
F24 BDC -RONGAI- BEER,BEER,,24T,11832.97
F24 -BDC -RUAKA - BEER,BEER,NAIROB,24T,10840.53
F24 -BOC -RUIRU - BEER,BEER,MOUNTAIN,24T,14147.72
F24 -BDC -UKUNDA - BEER,BEER,COAST UKUNDA,24T,110506.46
F24 BOC -VOt- BEER,BEER,COAST,24T,72479.42
F24-BOC-BUAUBUAU-BEER,BEER,BURUBURU,24T,16152.37
F24 -BDC -DAGORETTI CORNER - BEER,BEER,,24T,16152.37
F24 -BOC -ISIOLO - BEER,BEER,JOT,24T,96391.1
F24 -BOC -KAREN THT -GCER- 207 BEER,BEER,BDC NAIROBI,24T,36152.37
F24 -BOC -KITUI- REER- 307 BEER,BEER,BDC COAST,24T,56958.72
F24 -D0C -LIMURU - BEER,BEER,BEER BDC,24T,19203.69
F24 -BDC -MACHAKOS- IEER- JOT BEER,BEER,ADC COAST,24T,29629.76
F24 BDC -MAUA - BEER,BEER,MOUNTAIN,24T,95609.83
F24 -NDC -ME- RBEEUR - 307 BEER,BEER,MOUNTAIN,24T,79900.05
F24 -BDC -MOMBASA BEER,BEER,BEER,24T,104782.48
F24 -BDC -NAROK - HEER - 307 BEER,BEER,RIFT NAAOK,24T,53862.96
F24 -BOC -NKUBU . BEER,BEER,MOUNTAIN,24T,75465.17
F24-BOC -NYALI- BEER,BEER,COAST NYALI,24T,139688.37
F24 -BOC -RUAKA- NEER- 407 BEER,BEER,NAIROB,24T,26152.97
F24 -BDC -RUIRU - BEER,BEER,BEER,24T,19336.3
F24 BDC -TALA. BEER,BEER,COAST TALA,24T,39020.68
F24 -BDC -IKUNDA. BEER,BEER,BEER,24T,127054.88
F24 -BDC -VOl- BEER,BEER,DEER,24T,84624.73
F24 BDC -BOMET- BEER,BEER,AEE,24T,427.29
F24 -BDC -BURUAUAU - BEER,BEER,BEER BDC,24T,421.35
F24 -BDC -DIANI- BEER,BEER,BEER,24T,86459.13
F24 -BOC -EMALI- DEER - 7.57 BEER,BEER,COAST,24T,420.85
F24 -BDC -EMBU - BEER,BEER,BEER BDC,24T,29203.04
F24 -BDC -HURUMA - BEER,BEER,BEER,24T,421.35
F24 -BDG -JUIA - BEER,BEER,BEER,24T,264.29
F24-BOC -KAREN THT -BEER,BEER,BEER,24T,421.35
F24 -BDC -LOKICHOGIO - BEER,BEER,BEER,24T,134583.77
F24 -B-O MECRU - BEER,BEER,MOUNTAIN,24T,364.59
F24-BDC -NAIROBI THT - BEER,BEER,BEER,24T,16085.22
F24 -BDC -NAIVASHA BEER,BEER,BEER,24T,45.45
F24 -DOC -NYAHUAURU - MEER- 7.57 BEER,BEER,BOC MOUNTAIN,24T,412.36
F24 -BDC -NYALI- BEER,BEER,BEER,24T,79074.24
F24 -DC -RONGAI- BEER,BEER,BEER,24T,433.64
F24 -BDC -THIKA- BEER,BEER,BEER,24T,232.01
F24 -BDC -VOl- BEER,BEER,BEER,24T,62405.62
F24-DDC -EMAL- BEER,BEER,BER,24T,36741.91
F24-RDC -ISIOLO - BEER,BEER,MOUNTAIN,24T,49927.42
F24-BDC -JUJA - BEER,BEER,BEE BDC,24T,25755.44
F24 -BDC -KAYOLE - BEER,BEER,BEER BDC,24T,10860.94
F24-BDC -LOKICHOGIO - BEER,BEER,BEE,24T,98739.08
F24 -BDC -MACHAKOS - BEER,BEER,BEER COAST,24T,51327.91
F24 -BDC NAIROBI THT BEER,BEER,BEE BDC,24T,10860.94
F24 -BDC -NAROK - BEER,BEER,BEER,24T,22923.5
F24 -BOC -RONGAI- BEER,BEER,BEER BDC,24T,10860.94
F24 -BOC .TALA. BEER,BEER,BEER,24T,58008.04
F24 -ODC -THIKA - BEER,BEER,OER,24T,17661.54
F24 -NDC -UKUNDA - BEER,BEER,BEER BDC,24T,33183.2
F24- ADC. BABADOGO - SPIRITS,SPIRITS,SIARITS,24T,10767.83
F24- BDC - BOMET - SPIRITS,SPIRITS,SPIRITS,24T,49973.34
F24- ADC - DAGORETTICORNEN-SPIRITS,SPIRITS,SPIRITS,24T,10767.59
F24- BDC - DANDORA C8 - SPIRITS,SPIRITS,SPIRITS BDC,24T,10767.53
F24. BDC - ELDORET. SPIRITS,SPIRITS,AIF ELDON,24T,556.97
F24- DC - EMGU - SPIRI- T14S7 SPIRITS,SPIRITS,MOUNTAIN,24T,32870.12
F24- BDC- EMBU EB- SPIRITS,SPIRITS,LAT SPIRITS,24T,32870.12
F24- ADC- ISIOLO- SPIRITS,SPIRITS,SPIRITS BC,24T,61343.27
F24- DC - JUJA EB - SPIRITS,SPIRITS,SPIRITS BDC,24T,14533.6
F24- ADC - KANGEMA EB - SPIRITS,SPIRITS,SPIRITS,24T,29012.19
F24 - BDC. KAREN THT - SPIRITS,SPIRITS,SPIRITS,24T,346.46
F24. BDC. KIBERA EB - SPIRITS,SPIRITS,SPIRITS,24T,10767.53
F24 - BOC - KITHYUKO EB - SPIRITS,SPIRITS,,24T,71767.06
F24 - HOC - KITUI - SPIRITS,SPIRITS,SPIRITS BDC,24T,35696.61
F24- NDC LOKICHOGIO -SPiniTs- 1477 SPIRITS,SPIRITS,MOUNTAIN,24T,174354.8
F24- BOC. MAKONG- SEPIRNITIS - 147 SPIRITS,SPIRITS,MOUNTAIN,24T,17435.64
F29- HOC- MAKUTAND - 5PIRITS - 347 SPIRITS,SPIRITS,BDC MOUNTAIN,30T,23957.36
F24- BOC - MATHARE EB- SPIRITS,SPIRITS,NAIRODI,24T,10767.53
F24 - BOG - MAUA- SPIRITS,SPIRITS,SPIRITS BDC,24T,60626.59
F24 - BDC - MOMBASA - SPIRITS,SPIRITS,SPIRITS,24T,104044.43
F24- BOC - MWIKi EO - SPIRITS,SPIRITS,SPIRITS,24T,10767.53
F24- BDC- NAIROBI THT - SPIRITS,SPIRITS,SPIUTS,24T,10767.53
F24- DOG - NAIVASHA E1- SPIRITS,SPIRITS,SPIRITS BOC,24T,25099.15
F24.- BOC - NAN-Y SPIURITSK - 1I4T SPIRITS,SPIRITS,BOC MOUNTAIN,5T,45196.86
F24- BDC - NAROK EB . SPIRITS,SPIRITS,SPIRITS BOC,24T,34523.52
F24- BDC- NGARA EB - SPITS- 147 SPIRITS,SPIRITS,NAIROBI,24T,10767.53
F24 - BDC - NKUBU - SPIRITS,SPIRITS,SPIRITS BOC,24T,48136.24
F24- BDC- NAB CITY CENT EB - SPIRITS,SPIRITS,SPIRITS BOC,24T,10767.53
F24.8DC . NABSHAIMOYO ES SPIRITS,SPIRITS,SPIRITS BOC,24T,10767.53
F24 - BDC - RUIAU EB SPIRITS,SPIRITS,SPIRITS BDC,24T,14074.33
F24- BDC- TALA- SPIRITS,SPIRITS,SPITS,24T,25319.6
F24- BDC - BARADOGO - SPIRITS,SPIRITS,SPIRITS,24T,16012.24
F24- NOC - BOMIET - SPIRITS,SPIRITS,SPIRITS BOMET,24T,78287.5
F24-OOC- OAGORETTICORNER. SPIRITS,SPIRITS,NAIROO,24T,16012.24
F24- BOC - DANDORA E6 - SPIRITS,SPIRITS,SPIRITS,24T,16012.24
F24- BDC. ELOORET- SPIRITS,SPIRITS,SPIRITS ELDORET,24T,109474.54
F24- BOC- EMBU - SPIRITS,SPIRITS,SPIRITS BDC,24T,51056.23
F24- BDC. EMBU EB. SPIRITS,SPIRITS,SPIRITS,24T,51056.23
F24 . BDC . GITHUNGURI E6 - SPIRITS,SPIRITS,SPIRTTS JOC,24T,26438.31
F24 - DDC- KANGEMA EB - SPIRITS,SPIRITS,SPIRITS,24T,44835.09
F24- BOC KAWANGWARE EB SPIRITS,SPIRITS,SPIRITS BDC,24T,16012.24
f24- BDC - KEAICHO EB - SPIRITS,SPIRITS,RIFE KERICHO,24T,90197.3
F24 - BOC - KITHYUKO EB - SPIRITS,SPIRITS,SPIRITS BDC,24T,49278.76
F24 - BOC - MACHAKOS - SPIRITS,SPIRITS,COAST,24T,29489.64
F24 - BDC - MERU - SPIRITS,SPIRITS,MOUNTAIN,24T,79768.72
F24 - BOC - MOMBASA- SPIRITS,SPIRITS,MOMBASA,24T,104642.36
F24 - BDC - NAIVASHA EB - SPIRITS,SPIRITS,RIFT,24T,38525.07
F24 BOC - NGONG - SPIRITS,SPIRITS,SPIRITS BOC,24T,21048.41
F24 - BOC - NKUBU - SPIRITS,SPIRITS,SPIRITS,24T,75325.05
F24 - BOC- NYAHURURU - SPIRITS,SPIRITS,SPIRITS,24T,65757.24
F240 - IOC - NYALI- SPIRITS,SPIRITS,SOT SPIRITS,24T,107593.43
F24 - BOC- AUIRU ED - SPIRITS,SPIRITS,SPIRITS,24T,21344.65
F24 - BOC -ATHI RIVER- SPIRITS,SPIRITS,SPIRITS,24T,696.17
F24 - BDC- PANDORA EB - SPIRITS,SPIRITS,SPIRITS,24T,346.46
F24 - BOC- EMBU - SPIRITS,SPIRITS,SPIRITS BOC,24T,29170.76
