JURASSIC STORES 2013 LTD,,
UPDATED PRICELIST,,
Product Name,P/PCS,P/CTN
Grayson Gold Whiskey 750ml,"1,255.00","1,250.00"
GRAYSON WHISKEY 250ML,262.00,260.00
GRAYSON WHISKEY 750ML,732.00,730.00
Grenadine Syrup 750ml,357.00,355.00
Guinness Can 500Ml,223.00,222.00
Guinness Smooth 500ml,205.00,204.00
Hampton 750ml,"1,295.00","1,289.00"
Harvey Bristol Cream 750ml,"1,970.00","1,950.00"
Heineken 0.0 bottle 330ml,203.00,202.00
Heineken Bottle  330Ml,230.00,229.00
Heineken can 500ml,276.00,275.00
Hennessy Vs 350ml,"2,265.00","2,255.00"
Hennessy Vs 700ml,"4,650.00","4,600.00"
Hennessy VSOP 1LTR,"12,300.00","12,300.00"
HENNESSY VSOP 700ML,"9,000.00","9,000.00"
Herdsman 250ml,375.00,373.00
Herdsman Whisky 500ml,785.00,780.00
Highlands Queen 350ml,425.00,420.00
Highlands Queen 750ml,830.00,820.00
Highlife Medium Sweet 350Ml,200.00,200.00
Hike Premium 4.8 %,175.00,174.00
Hlibny Dar Classic vodka 250ml,352.00,350.00
Hlibny Dar  Corn 1ltr,"1,450.00","1,442.00"
Hlibny Dar  Ginger &Honey 1ltr,"1,450.00","1,442.00"
HOLA COLA 301ML,26.00,25.00
HOLA GREEN 301ML,26.00,25.00
HOLA MOJITO,26.00,25.00
HOLA ROSE 301ML,26.00,25.00
HOLA SWEET LIMAO 301ML,26.00,25.00
Hunters Chce 1/4,283.00,282.00
Hunters Chce 3/4,850.00,845.00
Hunters Chce 350Ml,407.00,406.00
Hunters Dry,197.00,196.00
Hunters Dry bottle,18.00,18.00
Hunters Dry  Cider 330ml Carton,197.00,196.00
Hunters Dry Cider Carton 330ml,190.00,190.00
Hunters Dry Crate,140.00,140.00
Hunters Gold,197.00,196.00
Hunters gold bottle,18.00,18.00
Hunters Gold Cider 330ml carton,197.00,196.00
Hunters gold crate,140.00,140.00
Hunting Lodge Apple 1L,816.00,812.00
Hunting Lodge Apple 750ml,685.00,680.00
Hunting Lodge Chocolate 1L,816.00,812.00
Hunting Lodge Chocolate 750ml,685.00,680.00
Hunting Lodge  Dry Gin 750ml,870.00,865.00
Hunting Lodge Vodka 750ml,685.00,680.00
Hunting Lodge Whiskey  1 ltr,"1,545.00","1,540.00"
Hunting Lodge Whisky 750ml,"1,130.00","1,125.00"
Huzzah Whisky 250ml,231.00,230.00
Icon Brandy 250ml,135.00,134.00
Icon Vodka 250ml,144.00,143.00
Identity Brandy 250ml,156.00,155.00
Identity Gin 250ml,156.00,155.00
Identity Vodka,156.00,155.00
Iice Apple 375Ml,319.00,317.00
Imagin 250ml,201.00,200.00
Imperial Blue 250ml,370.00,368.00
Imperial Blue 375ml,555.00,554.00
Imperial Blue 750ml,"1,015.00","1,010.00"
Imperial Blue Giftpack 750ml,830.00,830.00
Irish 750ml,690.00,685.00
Irish Reserve 375ml,367.00,365.00
Jack Daniel Honey 700Ml,"3,350.00","3,300.00"
Jack Daniels 1 Lt,"3,150.00","3,100.00"
Jack Daniels 375 Ml,"1,845.00","1,840.00"
Jackdaniels 700Ml,"2,900.00","2,890.00"
Jack Daniels Honey 1L,"3,745.00","3,730.00"
JACK DANIELS HONEY 350ML,"1,400.00","1,400.00"
Jagermeister 1L,"2,760.00","2,750.00"
Jagermeister 700 Ml,"2,270.00","2,258.00"
Jagermeister  With Cork 1ltr,"2,850.00","2,840.00"
Jagermeister  with Cork 700ml,"2,350.00","2,300.00"
JAGUAR ENERGY 250ML,128.00,125.00
JAGUAR ENERGY 500ML,158.00,155.00
Jamaican Rum 750ml,680.00,675.00
Jameson 1L,"3,310.00","3,295.00"
Jameson 375Ml,"1,240.00","1,234.00"
Jameson 750Ml,"2,483.00","2,472.00"
Jameson Black Barrel  750ml,"4,107.00","4,088.00"
J&B Rare 1L,"1,951.00","1,942.00"
J&B Rare 375ml,813.00,809.00
J&B Rare 750ml,"1,545.00","1,537.00"
J C LEROUX LA  FLEURETTE 750ML,"1,460.00","1,450.00"
JC LE ROUX LE DOMAINE 750ML,"1,460.00","1,450.00"
Jim Beam 1Litre,"2,510.00","2,495.00"
Jim Beam 350ml,860.00,850.00
JIM BEAM 750ML,"1,930.00","1,925.00"
John BANNERMANS 750ML,"1,260.00","1,250.00"
John Barr Black 1 ltr,"1,750.00","1,720.00"
John Barr Black 750ml,"1,620.00","1,615.00"
John Barr Red 1 ltr,"1,560.00","1,550.00"
John Barr Red 750ml,"1,307.00","1,300.00"
JOSE CUERVO  GOLD 1L,"2,750.00","2,700.00"
JOSE CUERVO  GOLD  750ML,"2,400.00","2,350.00"
JOSE CUERVO SILVER 1L,"2,665.00","2,652.00"
JOSE CUERVO  SILVER 750ML,"2,405.00","2,395.00"
JUA KALI 330ML,165.00,164.00
Juicy Steak Red 750ml,940.00,940.00
Jura Whisky 10 Years,"4,363.00","4,300.00"
Just Right Smooth 250ml,186.00,185.00
J/Walker Black 1 Lt,"3,805.00","3,790.00"
J/Walker Black 3/4,"3,035.00","3,020.00"
J/Walker Black 375Ml,"1,581.00","1,566.00"
J/Walker Red 1L,"2,044.00","2,024.00"
J/Walker Red 3/4,"1,668.00","1,652.00"
J/Walker Red 375Ml,874.00,865.00
J/W Black 250ml,"1,082.00","1,071.00"
J/W Blonde 750ml,"2,080.00","2,075.00"
J/W Double Black  1l,"5,491.00","5,438.00"
j/w Double black 750ml,"4,205.00","4,165.00"
J/W Gold Lable 750ml,"5,550.00","5,500.00"
J/W Green Lable 750ml,"6,826.00","6,793.00"
J/W  Red 250ml,582.00,577.00
J/W  White Lable 750ML,"3,251.00","3,235.00"
Kahawa Gold,"1,280.00","1,275.00"
Kahawa Liquer,810.00,805.00
Kakira Coffee Vodka  250ml,485.00,480.00
Kakira Coffee  Vodka 750ml,"1,300.00","1,290.00"
Kakira Gin 250ml,360.00,355.00
Kakira Gin 750ml,"1,125.00","1,120.00"
Kane Exra 250ml,202.00,200.00
Kane extra 750ml,599.00,593.00
KC CITRUS 750ML,680.00,677.00
Kc Pineapple 250ml,261.00,259.00
Kensington Dry Gin 750ml,835.00,830.00
Kenya Cane 1/2,361.00,359.00
Kenya Cane 1/4,261.00,259.00
Kenya Cane 3/4,690.00,683.00
Kenya Cane Citrus 250ml,260.00,260.00
Kenya Cane Citrus 750ml,750.00,750.00
Kenya Cane  Coconu 1/4,261.00,259.00
Kenya Cane Lemon&Ginger 250ml,268.00,267.00
Kenya Cane Lemon&Ginger 750ml,705.00,702.00
Kenya Cane Pineapple 750ml,705.00,702.00
Kenya Gold 250ml premium,168.00,167.00
Khor Black & Gold 1L,"2,040.00","2,035.00"
Khor Black & Gold 1ltr Gift pack,"2,600.00","2,590.00"
Khor platinum vodka 1.75l,"2,470.00","2,465.00"
Khor platinum vodka 1ltr,"1,330.00","1,325.00"
Khor Structured Vodka  1ltr,"1,640.00","1,630.00"
Khor White & Gold 1L,"2,040.00","2,035.00"
Khor White & Gold 1ltr Gift Pack,"2,600.00","2,590.00"
Kibao Gin 250ml,214.00,213.00
Kibao Gin 350ml,323.00,321.00
Kibao Gin 750ml,600.00,598.00
Kibao Vodka 1/2,342.00,339.00
Kibao Vodka 1/4,226.00,225.00
Kibao Vodka 3/4,632.00,629.00
Kienyeji 250ml,218.00,217.00
