page,raw_line,lane_candidate,lane_clean,matched_lane,ocr_rate,matched_rate,diff
10,"Al NBO F24 - VOI JOT 6 [Been INGO COAST vor aot 132,593.70 119,334.33 15,259.99","Al NBO F24 - VOI JOT 6 [Been INGO COAST vor aot 132,593.70 119,334.33 15,259.99",AL NBO F24  VOI JOT 6 BEEN INGO COAST VOR AOT 13259370 11933433 1525999,,132593.7,,
10,"KGL NBO F24. WOTE/MAKUENI 407 6 eu Noo COAST _|WOTE/MAKUENI __3o7 18 37,751.18 4,194.58",KGL NBO F24. WOTE/MAKUENI 407 6 eu Noo COAST _,KGL NBO F24 WOTEMAKUENI 407 6 EU NOO COAST ,KBL NBO F20  WOTEMAKUENI 14T KEG,37751.18,665.75,37085.43
10,"KOU NDO F24-ATHIAIVER 7.57 BEER NEO NAIROBI [ATHIRIVER LST 13,274.85 10,147.37",KOU NDO F24-ATHIAIVER 7.57 BEER,KOU NDO F24ATHIAIVER 757 BEER,KBL NBO F20  ATHIRIVER 75T BEER,7.57,864.13,-856.56
10,"KBL NBO F24 - BOMET 7.5T BEER JBEER ———[NOO Aur BOMET 757 43,687.77 39,418.99",KBL NBO F24 - BOMET 7.5T BEER,KBL NBO F24  BOMET 75T BEER,KBL NBO F20  BOMET 75T BEER,43687.77,938.54,42749.229999999996
10,"KOL N&O F24~ BUNGOMA 7.57 BEER BEER NBO RIFT BUNGOMA 757 74,438,392 66,904.49","KOL N&O F24~ BUNGOMA 7.57 BEER BEER NBO RIFT BUNGOMA 757 74,438,392 66,904.49",KOL NO F24 BUNGOMA 757 BEER BEER NBO RIFT BUNGOMA 757 74438392 6690449,,7.57,,
10,"KBL NBO F24 - BURUBURU 7.57 BEER BEER NBO 757] 11,138.83 024",KBL NBO F24 - BURUBURU 7.57 BEER,KBL NBO F24  BURUBURU 757 BEER,KBL NBO F20  BURUBURU 75T BEER,7.57,725.33,-717.76
10,"KBLNGO F24. GUSIA 7.5T BEER poten NEO 7.51 63,941.74 75,547.57",KBLNGO F24. GUSIA 7.5T BEER,KBLNGO F24 GUSIA 75T BEER,KBL NBO F20  BUSIA 75T BEER,7.51,515.4,-507.89
11,"KBL NOO F24 - DAGORETTI CORNER 7.5T BEER DAGORET CONNER 25t 41,135,3 10,024.95",KBL NOO F24 - DAGORETTI CORNER 7.5T BEER,KBL NOO F24  DAGORETTI CORNER 75T BEER,KBL NBO F20  DAGORETTI CORNER 75T BEER,10024.95,725.33,9299.62
11,"KBLNBO F24. DANDORA 7.5T BEER DANDORA 7.57 9,050.36 8,145.32",KBLNBO F24. DANDORA 7.5T BEER,KBLNBO F24 DANDORA 75T BEER,KBL NBO F20  DANDORA 75T BEER,7.57,794.24,-786.67
11,"KBL NBO F24 - EMALI7.ST BEER MAU 7.5 26,766.48 24,089.83",KBL NBO F24 - EMALI7.ST BEER,KBL NBO F24  EMALI7ST BEER,KBL NBO F20  EMALI 75T BEER,26766.48,671.92,26094.56
11,"KBL NGO F 2a - EMDAKASI 7.57 BEER EMBAKAS! 2.57 40,158.83 9,142.98","KBL NGO F 2a - EMDAKASI 7.57 BEER EMBAKAS! 2.57 40,158.83 9,142.98",KBL NGO F 2A  EMDAKASI 757 BEER EMBAKAS 257 4015883 914298,,7.57,,
11,"KGL NBO F2q- EMBU 7.57 BEER JEMeU 7,81 26,301,47 23,671,92","KGL NBO F2q- EMBU 7.57 BEER JEMeU 7,81 26,301,47 23,671,92",KGL NBO F2Q EMBU 757 BEER JEMEU 781 2630147 2367192,,7.57,,
11,"KBL NBO F24 « GARISSA 7.5T BEER GARISSA 751 67,544.65 60,790.19","KBL NBO F24 « GARISSA 7.5T BEER GARISSA 751 67,544.65 60,790.19",KBL NBO F24  GARISSA 75T BEER GARISSA 751 6754465 6079019,KBL NBO F20  GARISSA 75T BEER,67544.65,282.29,67262.36
11,"8O F24-GATUNDU 7.57 BEER GATUNDU 2.51 23,556.07 ~_42,201,18",8O F24-GATUNDU 7.57 BEER,8O F24GATUNDU 757 BEER,KBL NBO F20  GATUNDU 75T BEER,7.57,192.73,-185.16
11,"KBL NBO F24 » GIKOMBA 7.57 BEER GIKOMOA 251 11,385.96 10,247.36","KBL NBO F24 » GIKOMBA 7.57 BEER GIKOMOA 251 11,385.96 10,247.36",KBL NBO F24  GIKOMBA 757 BEER GIKOMOA 251 1138596 1024736,KBL NBO F20  GIKOMBA 75T BEER,7.57,977.51,-969.9399999999999
11,"KBLNBO F24 - GILGIL 7.S7 BEER GILGIL 7.57 27,076.49 24,468.84",KBLNBO F24 - GILGIL 7.S7 BEER,KBLNBO F24  GILGIL 7S7 BEER,KBL NBO F20  GILGIL 75T BEER,7.57,988.26,-980.6899999999999
11,"KOL NBO F24- NURLIGHUM DEF 7.57 BEER HURUIGHUM DEF 251 10,158.83 9,142.95",KOL NBO F24- NURLIGHUM DEF 7.57 BEER,KOL NBO F24 NURLIGHUM DEF 757 BEER,KBL NBO F20  HURLIGHUM DEF 75T BEER,7.57,725.33,-717.76
11,"KL NBO F24. HURUMA 7.57 BEER HURUMA ST 11,138.83 10,024.95",KL NBO F24. HURUMA 7.57 BEER,KL NBO F24 HURUMA 757 BEER,KBL NBO F20  HURUMA 75T BEER,7.57,725.33,-717.76
11,"KOL NBO F2d - ISIOLO 7.5T BEER jisioLa St 51,726.52 46,553.87","KOL NBO F2d - ISIOLO 7.5T BEER jisioLa St 51,726.52 46,553.87",KOL NBO F2D  ISIOLO 75T BEER JISIOLA ST 5172652 4655387,KBL NBO F20  ISIOLO 75T BEER,51726.52,141.34,51585.18
11,"KGL NBO Fa -ITEN 7ST HEER ITEN ST 65,442.38 58,498.14","KGL NBO Fa -ITEN 7ST HEER ITEN ST 65,442.38 58,498.14",KGL NBO FA ITEN 7ST HEER ITEN ST 6544238 5849814,,65442.38,,
11,"BO F24- JUJA7,5T BEER 2.51] 12,304,70 1,328.23","BO F24- JUJA7,5T BEER 2.51] 12,304,70 1,328.23",BO F24 JUJA75T BEER 251 1230470 132823,,2.51,,
11,"KBLNOO F24« KABARNET 7.5T BEER KABARNET 231 57,805.25 52,024.73","KBLNOO F24« KABARNET 7.5T BEER KABARNET 231 57,805.25 52,024.73",KBLNOO F24 KABARNET 75T BEER KABARNET 231 5780525 5202473,,57805.25,,
11,"KBL NGO F24- KAGIO 7.5T BEER 2,51 23,871.40 21,484.26",KBL NGO F24- KAGIO 7.5T BEER,KBL NGO F24 KAGIO 75T BEER,KBL NBO F20  KAGIO 75T BEER,23871.4,717.76,23153.640000000003
11,"KBLNEO F2a - KAKAMEGA 7.57 HEER KAKAMEGA 757 70,786.85 63,707.99","KBLNEO F2a - KAKAMEGA 7.57 HEER KAKAMEGA 757 70,786.85 63,707.99",KBLNEO F2A  KAKAMEGA 757 HEER KAKAMEGA 757 7078685 6370799,,7.57,,
11,"KBLNBO F24 » KAPSABET 7.5T BEER Kapiabet 731 $9,107.49 53,196.74","KBLNBO F24 » KAPSABET 7.5T BEER Kapiabet 731 $9,107.49 53,196.74",KBLNBO F24  KAPSABET 75T BEER KAPIABET 731 910749 5319674,KBL NBO F20  KAPSABET 75T BEER,9107.49,260.05,8847.44
11,"KOL NBO F24- KERICHO 7.5T BEER KERICHO 2.57 49,087.93 44,899.12",KOL NBO F24- KERICHO 7.5T BEER,KOL NBO F24 KERICHO 75T BEER,KBL NBO F20  KERICHO 75T BEER,2.57,265.22,-262.65000000000003
11,"KBL NBO F24« KERUGOVA 757 BEER Korugova 7.57) 32,037.48 26,833.73","KBL NBO F24« KERUGOVA 757 BEER Korugova 7.57) 32,037.48 26,833.73",KBL NBO F24 KERUGOVA 757 BEER KORUGOVA 757 3203748 2683373,,7.57,,
11,"KBL NEO F24 . KIBERA 7.57 BEER fA 751 9,050.36 8,145.32",KBL NEO F24 . KIBERA 7.57 BEER,KBL NEO F24  KIBERA 757 BEER,KBL NBO F20  KIBERA 75T BEER,7.57,794.24,-786.67
11,"KBL NBO F24 - KIBWEZI7.ST BEER KIBWEZI 7.57 38,727.67 34,854.90",KBL NBO F24 - KIBWEZI7.ST BEER,KBL NBO F24  KIBWEZI7ST BEER,KBL NBO F20  KIBWEZI 75T BEER,7.57,877.22,-869.65
11,"KOL HOO F24- KIS 7.57 BEER ISI 7.57 56,369.44 $0,732.80",KOL HOO F24- KIS 7.57 BEER,KOL HOO F24 KIS 757 BEER,KBL NBO F20  KISII 75T BEER,7.57,879.02,-871.4499999999999
11,"KOL NBO F24 «KISUMU 7.5T BEER KISUMU 751 64,392.02 $7,952.82","KOL NBO F24 «KISUMU 7.5T BEER KISUMU 751 64,392.02 $7,952.82",KOL NBO F24 KISUMU 75T BEER KISUMU 751 6439202 795282,KBL NBO F20  KISUMU 75T BEER,64392.02,886.35,63505.67
11,"KBL NBO F24 - KITALE 7.57 BEER RITALE 751 68,220.40 61,405.56",KBL NBO F24 - KITALE 7.57 BEER,KBL NBO F24  KITALE 757 BEER,KBL NBO F20  KITALE 75T BEER,7.57,980.0,-972.43
11,"KALNGO F24 - KITUI7.ST BEER Kirul 2:57 32,141.62 28,927.46",KALNGO F24 - KITUI7.ST BEER,KALNGO F24  KITUI7ST BEER,KBL NBO F20  KITUI 75T BEER,32141.62,156.76,31984.86
11,"KAL NBO F24 - LAMU 7,57 BEER WAMU 7ST 85,723.17 77,350.85","KAL NBO F24 - LAMU 7,57 BEER WAMU 7ST 85,723.17 77,350.85",KAL NBO F24  LAMU 757 BEER WAMU 7ST 8572317 7735085,,85723.17,,
11,"KOL.NEO F24 « LANET 7.5T BEER ANE 751 35,291,67 31,762.50","KOL.NEO F24 « LANET 7.5T BEER ANE 751 35,291,67 31,762.50",KOLNEO F24  LANET 75T BEER ANE 751 3529167 3176250,,31762.5,,
11,"KBL NEO F24 - LIMURU 7.5T BEER MURU 7.51 32,735.36 11,461.82",KBL NEO F24 - LIMURU 7.5T BEER,KBL NEO F24  LIMURU 75T BEER,KBL NBO F20  LIMURU 75T BEER,7.51,354.45,-346.94
